"","data6","Freq"
"1","가족",246
"2","해운대",83
"3","사진",63
"4","바다",51
"5","숙소",49
"6","호텔",48
"7","감천문화마을",47
"8","아이들",42
"9","엄마",41
"10","아침",40
"11","주차장",40
"12","남포동PIFF광장",38
"13","생각",38
"14","아빠",36
"15","추천",34
"16","거리",33
"17","국제시장",30
"18","구경",28
"19","자갈치시장",28
"20","씨앗호떡",27
"21","돼지국밥",26
"22","야경",26
"23","예약",26
"24","위치",26
"25","처음",26
"26","유명",25
"27","태종대",25
"28","광안리",24
"29","일정",24
"30","코스",24
"31","마음",23
"32","모습",23
"33","해동용궁사",23
"34","가격",22
"35","이야기",22
"36","자리",22
"37","날씨",21
"38","다양",21
"39","시원",21
"40","해수욕장",21
